#Table1
bestObjID,ra,dec,z
1237658313477456408,182.73716,61.09775,6.923652
1237655107839525051,177.81954,59.455882,6.750081
1237657612876710380,179.51483,58.182367,6.497554
1237655108913791286,180.07347,60.432879,6.497334
1237658311866516140,181.31722,59.74629,6.419885
